category,lang,topic
education,ar,هل تعليم البرمجة في المدارس الابتدائية ضرورة أم فكرة مبالغ فيها؟
education,ar,الجامعات تبيع شهادات أكثر مما تبني عقولاً قادرة على الإنتاج
education,ar,التعلم باللغة الأم أهم من التعلم باللغة الإنجليزية في المراحل الأولى
education,ar,هل المعلم سيبقى ضرورياً في عالم تتوفر فيه كل المعلومات مجاناً؟
education,ar,نظام التعليم الحالي يُعدّ الطلاب لوظائف لن تكون موجودة غداً
education,en,Should universities be required to justify the return on investment of each degree?
education,en,Is standardized testing a fair way to measure student potential?
education,en,Should coding be a mandatory subject starting in primary school?
education,en,Has online learning made quality education more accessible or more isolating?
education,en,Are grades doing more harm than good to student motivation and curiosity?
education,en,Should emotional intelligence be formally taught in school curricula?
education,en,Is the traditional university model already becoming obsolete?
education,en,Should students have more say in designing their own learning paths?
education,en,Is homework an effective learning tool or an outdated burden on families?
education,en,Are teachers being adequately prepared for AI-assisted classrooms?
relationship,ar,هل التوقعات العالية في العلاقات هي السبب الرئيسي لفشلها؟
relationship,ar,الصداقة الحقيقية بين الجنسين ممكنة بشروط واضحة ومتفق عليها
relationship,ar,هل التواصل الرقمي المستمر مع الشريك يُقلل الجودة العاطفية للعلاقة؟
relationship,ar,العلاقات عن بعد أصعب من أي نوع آخر وغالباً لا تنجح طويلاً
relationship,ar,هل وضع الحدود الشخصية في العائلة أمر صحي أم أنانية مرفوضة؟
relationship,ar,الزواج بدون قدر من الاستقلالية المالية يخلق اختلالاً في موازين القوة
relationship,ar,هل يجب مناقشة المال والديون قبل الارتباط الرسمي بشكل صريح؟
relationship,ar,الخيانة لا تستحق الغفران في أي علاقة أياً كانت الظروف
relationship,ar,تطبيقات المواعدة غيّرت معايير الاختيار للأسوأ لا للأفضل
relationship,ar,هل الصداقات التي تجمعك بزملاء العمل تختلف جوهرياً عن الصداقات الحقيقية؟
relationship,en,Is transparency about your past always necessary in a new relationship?
relationship,en,Have dating apps made it harder to commit to a serious relationship?
relationship,en,Should couples discuss finances openly before getting married?
relationship,en,Is it possible to be genuinely close friends with an ex-partner?
relationship,en,Does social media make it harder to feel satisfied in your own relationship?
relationship,en,Should long-distance relationships be treated with the same seriousness as in-person ones?
relationship,en,Is setting strict personal boundaries with family healthy or selfish?
relationship,en,Are people today less willing to put in the effort relationships require?
relationship,en,Should infidelity always be a dealbreaker regardless of circumstances?
relationship,en,Is it fair to expect your partner to be your best friend and romantic partner simultaneously?
mindset,ar,الفشل المتكرر دليل شجاعة لا دليل على عدم الكفاءة
mindset,ar,هل الامتنان اليومي يُغيّر فعلاً من نظرتنا للحياة أم مجرد موضة نفسية؟
mindset,ar,المقارنة بالآخرين دائماً مصدر للتعاسة لا للتحفيز الصحي
mindset,ar,هل الشخص الذي لا يطلب المساعدة أكثر قوة أم أكثر غروراً؟
mindset,ar,الراحة المستمرة عدو النمو الشخصي الأكبر على الإطلاق
mindset,ar,التفاؤل المفرط ضار بنفس القدر الذي يكون فيه التشاؤم ضاراً
mindset,ar,هل يمكن تنمية الانضباط الذاتي فعلاً أم أنه صفة فطرية في معظمها؟
mindset,ar,العقلية الثابتة أم النمو أيهما أكثر تأثيراً في نجاح الناس عملياً؟
mindset,ar,قبول الذات لا يعني التوقف عن السعي للتطور والتحسين
mindset,ar,هل الوعي الزائد بالنفس يُعيق الأداء أحياناً أكثر مما يُحسّنه؟
mindset,en,Is radical self-acceptance compatible with the desire for self-improvement?
mindset,en,Does overthinking kill more opportunities than lack of preparation ever could?
mindset,en,Is resilience a skill that can be trained or is it largely inherited?
mindset,en,Are people who never ask for help stronger or just more stubborn?
mindset,en,Does excessive optimism cause as much harm as chronic pessimism?
mindset,en,Is comparing yourself to others ever a useful motivational tool?
mindset,en,Can discipline truly be developed or is it mostly a personality trait?
mindset,en,Is the concept of work-life balance a myth for high achievers?
mindset,en,Does comfort always kill growth or is rest a legitimate form of progress?
mindset,en,Is extreme self-awareness a strength or does it become a form of paralysis?
